action_name,action_value,app_type,event_id,map_keys
action,7,likee,104034,"discount_diamond,price,discount_price,pay_type,network_status,_linkd_,creator_uid,pay_source,diamond"
action,131,likee,105001,"game_id,live_type,game_name,game_type,live_style"
action,184,likee,105001,live_from
action,208,likee,105001,"live_type,status,_linkd_,live_style"
action,244,likee,105001,"live_id,game_id,live_type,game_name,_linkd_,game_type,live_from,line_live_status,live_style,is_visitor,room_id"
action,248,likee,105001,"live_type,live_style"
action,297,likee,105001,"task_type,_linkd_"
action,60,likee,105001,"music_play_time_cnt,live_id,set_status,video_new_fans,is_cover_exist,close_refer,pendant_id,filter_tab_id,mvp_open,live_style,room_id,gesture_dl_fail_reason,phone_permission,admin_num,is_change_cover,bean_num,sticker_dl_time,multi_game_play_time,guanli_style,line_from,beauty_source,like_num,qmkaibo_status,sticker_dl_result,music_source,live_type,camera_status,cover,card_from,music_exit_type,from,slimming_value,secret,cover_state,game_id,live_time_new,whitening_value,game_name,_linkd_,friend_inform,live_from,reason,gesture_dl_time,music_volume,live_time,mic_permission,is_multi_game_play,same_family_label,filter_id,filter_value,eyes_value,profile_uid,resolution_level,invite_entrance,live_cover,gesture_dl_result,click_result,ban_appeal_status,multi_game_type,add_blacklist,music_play_time,beauty_id,softening_value,family_uid_cnt,shangmai_uid,ishot,compare_status,sticker_list_status,line_live_status,camera_permission,private_account_status,list_type,fans_num,title,minor_appeal_status,music_enter_source,family_cnt,invited_num,is_using_regular_cover,game_type,gesture_list_status,share_type,sticker_dl_fail_reason,face_value"
action,96,likee,105001,"music_play_time_cnt,live_id,set_status,video_new_fans,is_cover_exist,close_refer,pendant_id,filter_tab_id,mvp_open,live_style,room_id,gesture_dl_fail_reason,phone_permission,admin_num,is_change_cover,bean_num,sticker_dl_time,multi_game_play_time,guanli_style,line_from,beauty_source,like_num,qmkaibo_status,sticker_dl_result,music_source,live_type,camera_status,cover,card_from,music_exit_type,from,slimming_value,secret,cover_state,live_time_new,whitening_value,_linkd_,friend_inform,live_from,reason,gesture_dl_time,music_volume,live_time,mic_permission,is_multi_game_play,same_family_label,filter_id,filter_value,eyes_value,profile_uid,resolution_level,invite_entrance,live_cover,gesture_dl_result,click_result,ban_appeal_status,multi_game_type,add_blacklist,music_play_time,beauty_id,softening_value,family_uid_cnt,shangmai_uid,ishot,compare_status,sticker_list_status,line_live_status,camera_permission,private_account_status,list_type,fans_num,title,minor_appeal_status,music_enter_source,family_cnt,invited_num,is_using_regular_cover,gesture_list_status,share_type,sticker_dl_fail_reason,face_value"
action,152,likee,105002,"switch_enter,live_id,pos,family_room,seq_id,live_type,list_source,entrance_pos,follow_mold,entrance,same_family_label,dispatch_id,live_style,tab_enter_type,room_id,game_id,sizer_para2,push_in_type,is_widthways,game_name,current_pos,game_type,_linkd_,current_list,live_uid,sv"
action,201,likee,105002,"live_id,exp_free_gift,share_source,first_frame,vip_price,uid_style,mystery_pop_type,follow_mold,red_point_style,tab_type,streamer_uid,is_multi_game_scene,report_reason,chest_source,pk_time,gift_guide_type,first_label,shenqing_status,more_page_refer,enter_status,follow_entrance,guanli_style,line_from,is_female,exit,line_uid,is_user_on_printer,slide_type,seq_id,play_multi_game_time,play_error_bits,shichang,homeowner_uid,user_family_type,time_start_show,push_type,play_type,shenqing_from,vip_flag,sizer_para2,game_id,jump_type,deeplink_type,is_widthways,game_name,_linkd_,shibai_reason,paidui_status,sv,gift_meet,left_slip_room,click_profile,comments,interactive_game_id,apply_mic_times,min_window_watch_time,mai_pox,mysterymen_button,show_from_source,profile_uid,live_type_rec,current_pos,current_list,role,shangmai_source,multi_game_type,family_relation,follow,package_source,speed,is_game_player,guide_type,his_count,fuweng_box,line_live_status,list_type,printer_count,dispatch_id,add_fans_club_cnt,anchortype,voice_time,live_num,watch_multi_game_time,room_id_rec,moment_page_tab,game_type,click_join,live_uid,package_num,switch_enter,watch_time,invite_uid,follow_clicknum,family_room,interactive_game_session,mysterymen_page,stuck_time,gift_num,message_id,entrance,live_uid_rec,is_dianshang,live_style,room_id,free_mai,room_window,share,friend_uid,wait_time,exposed_age,purchase_source,female_num,comment_nums,is_apply_success,getgift_uid,game_status,bullet_screens,second_tab,followmold,stuck_cnt,live_type,list_source,entrance_pos,join_group,viewed_uid,card_from,im_enter_type,fans_club_status,inter_type,is_anchor,click_gift_panel_cnt,background_watch_time,push_in_type,red_point_type,mic_times,pos,inserttype,cover_type,is_shangmai,auto_renewal,trending_status,multi_game_time,joins,moment_source,click_fans_club_cnt,same_family_label,toast_results,foreground_watch_time,live_preview_direct_enter_room,close_rec_room_type,live_tab_scene,gift_id,xiamai_reason,family_uid_cnt,live_list_preview_direct_enter_room,follow_expnum,hearts,user_type,shangmai_uid,yindao_source,printer_my_count,enter_follow_type,gift_panel_source,tab_enter_type,sentence_num,gift_price,family_cnt,dianshang_time,comment_source,card_exposed_uid,follow_status,list_play_status"
action,219,likee,105002,"live_id,exp_free_gift,share_source,first_frame,vip_price,uid_style,mystery_pop_type,follow_mold,red_point_style,tab_type,streamer_uid,is_multi_game_scene,report_reason,chest_source,pk_time,gift_guide_type,first_label,shenqing_status,more_page_refer,enter_status,follow_entrance,guanli_style,line_from,is_female,exit,line_uid,is_user_on_printer,slide_type,seq_id,play_multi_game_time,play_error_bits,shichang,homeowner_uid,user_family_type,time_start_show,push_type,play_type,shenqing_from,vip_flag,sizer_para2,game_id,jump_type,deeplink_type,is_widthways,game_name,_linkd_,shibai_reason,paidui_status,sv,gift_meet,left_slip_room,click_profile,comments,interactive_game_id,apply_mic_times,min_window_watch_time,mai_pox,mysterymen_button,show_from_source,profile_uid,live_type_rec,current_pos,current_list,role,shangmai_source,multi_game_type,family_relation,follow,package_source,speed,is_game_player,guide_type,his_count,fuweng_box,line_live_status,list_type,printer_count,dispatch_id,add_fans_club_cnt,anchortype,voice_time,live_num,watch_multi_game_time,room_id_rec,moment_page_tab,game_type,click_join,live_uid,package_num,switch_enter,watch_time,invite_uid,follow_clicknum,family_room,interactive_game_session,mysterymen_page,stuck_time,gift_num,message_id,entrance,live_uid_rec,is_dianshang,live_style,room_id,free_mai,room_window,share,second_label,friend_uid,wait_time,exposed_age,purchase_source,female_num,comment_nums,is_apply_success,getgift_uid,game_status,bullet_screens,second_tab,followmold,stuck_cnt,live_type,list_source,entrance_pos,join_group,viewed_uid,card_from,im_enter_type,fans_club_status,inter_type,is_anchor,click_gift_panel_cnt,background_watch_time,push_in_type,red_point_type,mic_times,pos,inserttype,cover_type,is_shangmai,auto_renewal,trending_status,multi_game_time,joins,moment_source,click_fans_club_cnt,same_family_label,toast_results,foreground_watch_time,live_preview_direct_enter_room,close_rec_room_type,live_tab_scene,gift_id,xiamai_reason,family_uid_cnt,live_list_preview_direct_enter_room,follow_expnum,hearts,user_type,shangmai_uid,yindao_source,printer_my_count,enter_follow_type,gift_panel_source,tab_enter_type,sentence_num,gift_price,family_cnt,dianshang_time,comment_source,card_exposed_uid,follow_status,list_play_status"
action,315,likee,105002,"switch_enter,live_id,pos,family_room,seq_id,live_type,list_source,entrance_pos,follow_mold,entrance,same_family_label,dispatch_id,live_style,room_id,tab_enter_type,mvp_uid,game_id,sizer_para2,push_in_type,is_widthways,game_name,current_pos,game_type,_linkd_,current_list,live_uid,sv"
